"TOA5","DroughtNet","CR1000","73052","CR1000.Std.28.02","CPU:DryNet20151110.CR1","60679","SoilProfile"
"TIMESTAMP","RECORD","VW_Avg(17)","VW_Avg(18)","VW_Avg(19)","Tsoil_Avg(1)","Tsoil_Avg(2)","Tsoil_Avg(3)"
"TS","RN","","","","C","C","C"
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-04-30 05:15:00",925,0.053,0.028,0.038,14.34,17.79,19.97
"2018-04-30 05:30:00",926,0.053,0.028,0.038,14.28,17.74,19.96
"2018-04-30 05:45:00",927,0.053,0.028,0.038,14.2,17.7,19.95
"2018-04-30 06:00:00",928,0.054,0.028,0.038,14.13,17.66,19.94
"2018-04-30 06:15:00",929,0.054,0.028,0.038,14.06,17.61,19.93
"2018-04-30 06:30:00",930,0.054,0.028,0.038,13.97,17.57,19.92
"2018-04-30 06:45:00",931,0.054,0.028,0.038,13.92,17.52,19.91
"2018-04-30 07:00:00",932,0.054,0.028,0.038,13.88,17.48,19.9
"2018-04-30 07:15:00",933,0.054,0.028,0.038,13.81,17.44,19.89
"2018-04-30 07:30:00",934,0.054,0.028,0.038,13.78,17.39,19.88
"2018-04-30 07:45:00",935,0.054,0.028,0.038,13.81,17.35,19.86
"2018-04-30 08:00:00",936,0.054,0.028,0.038,13.89,17.3,19.84
"2018-04-30 08:15:00",937,0.054,0.028,0.038,13.99,17.25,19.82
"2018-04-30 08:30:00",938,0.055,0.028,0.038,14.14,17.2,19.8
"2018-04-30 08:45:00",939,0.055,0.028,0.038,14.37,17.16,19.79
"2018-04-30 09:00:00",940,0.055,0.028,0.038,14.58,17.13,19.76
"2018-04-30 09:15:00",941,0.055,0.028,0.038,14.78,17.1,19.74
"2018-04-30 09:30:00",942,0.055,0.028,0.038,14.95,17.08,19.72
"2018-04-30 09:45:00",943,0.055,0.028,0.038,15.09,17.07,19.7
"2018-04-30 10:00:00",944,0.055,0.028,0.038,15.18,17.07,19.69
"2018-04-30 10:15:00",945,0.055,0.028,0.038,15.3,17.07,19.67
"2018-04-30 10:30:00",946,0.055,0.028,0.038,15.4,17.07,19.65
"2018-04-30 10:45:00",947,0.055,0.028,0.038,15.5,17.08,19.63
"2018-04-30 11:00:00",948,0.055,0.029,0.038,15.59,17.09,19.62
"2018-04-30 11:15:00",949,0.055,0.029,0.038,15.76,17.09,19.6
"2018-04-30 11:30:00",950,0.055,0.029,0.038,15.92,17.1,19.58
"2018-04-30 11:45:00",951,0.055,0.028,0.038,16.01,17.13,19.57
"2018-04-30 12:00:00",952,0.055,0.029,0.038,16.12,17.14,19.56
"2018-04-30 12:15:00",953,0.055,0.029,0.038,16.23,17.16,19.54
"2018-04-30 12:30:00",954,0.056,0.029,0.038,16.34,17.18,19.53
"2018-04-30 12:45:00",955,0.056,0.029,0.038,16.43,17.21,19.51
"2018-04-30 13:00:00",956,0.056,0.029,0.038,16.46,17.23,19.5
"2018-04-30 13:15:00",957,0.056,0.029,0.038,16.58,17.26,19.48
"2018-04-30 13:30:00",958,0.056,0.029,0.038,16.66,17.28,19.47
"2018-04-30 13:45:00",959,0.056,0.029,0.038,16.73,17.31,19.46
"2018-04-30 14:00:00",960,0.056,0.029,0.038,16.83,17.34,19.45
"2018-04-30 14:15:00",961,0.056,0.029,0.038,16.89,17.37,19.44
"2018-04-30 14:30:00",962,0.056,0.029,0.038,16.9,17.4,19.43
"2018-04-30 14:45:00",963,0.056,0.029,0.038,16.92,17.43,19.43
"2018-04-30 15:00:00",964,0.056,0.029,0.038,16.96,17.47,19.41
"2018-04-30 15:15:00",965,0.056,0.029,0.038,16.99,17.5,19.41
"2018-04-30 15:30:00",966,0.056,0.029,0.038,16.99,17.52,19.41
"2018-04-30 15:45:00",967,0.056,0.029,0.038,16.97,17.56,19.41
"2018-04-30 16:00:00",968,0.056,0.029,0.038,16.96,17.59,19.4
"2018-04-30 16:15:00",969,0.056,0.029,0.038,16.96,17.61,19.39
"2018-04-30 16:30:00",970,0.056,0.029,0.038,16.97,17.63,19.39
"2018-04-30 16:45:00",971,0.056,0.029,0.038,16.97,17.65,19.39
"2018-04-30 17:00:00",972,0.056,0.029,0.038,16.99,17.67,19.39
"2018-04-30 17:15:00",973,0.056,0.029,0.038,16.98,17.69,19.39
"2018-04-30 17:30:00",974,0.056,0.029,0.038,16.94,17.71,19.39
"2018-04-30 17:45:00",975,0.056,0.029,0.038,16.9,17.74,19.4
"2018-04-30 18:00:00",976,0.056,0.029,0.038,16.86,17.75,19.4
"2018-04-30 18:15:00",977,0.056,0.029,0.038,16.79,17.77,19.4
"2018-04-30 18:30:00",978,0.056,0.029,0.038,16.67,17.77,19.4
"2018-04-30 18:45:00",979,0.056,0.029,0.038,16.51,17.78,19.41
"2018-04-30 19:00:00",980,0.055,0.029,0.038,16.37,17.79,19.41
"2018-04-30 19:15:00",981,0.055,0.029,0.038,16.25,17.79,19.42
"2018-04-30 19:30:00",982,0.055,0.029,0.038,16.14,17.79,19.43
"2018-04-30 19:45:00",983,0.056,0.029,0.038,16.05,17.78,19.43
"2018-04-30 20:00:00",984,0.055,0.029,0.038,15.95,17.77,19.44
"2018-04-30 20:15:00",985,0.056,0.029,0.038,15.85,17.76,19.44
"2018-04-30 20:30:00",986,0.055,0.029,0.038,15.75,17.74,19.44
"2018-04-30 20:45:00",987,0.055,0.029,0.038,15.65,17.71,19.45
"2018-04-30 21:00:00",988,0.055,0.029,0.038,15.54,17.69,19.45
"2018-04-30 21:15:00",989,0.055,0.029,0.038,15.46,17.67,19.45
"2018-04-30 21:30:00",990,0.055,0.029,0.038,15.38,17.64,19.46
"2018-04-30 21:45:00",991,0.055,0.029,0.038,15.32,17.62,19.46
"2018-04-30 22:00:00",992,0.055,0.029,0.038,15.22,17.59,19.46
"2018-04-30 22:15:00",993,0.055,0.029,0.038,15.17,17.56,19.47
"2018-04-30 22:30:00",994,0.055,0.029,0.038,15.11,17.52,19.46
"2018-04-30 22:45:00",995,0.055,0.029,0.038,15.01,17.49,19.46
"2018-04-30 23:00:00",996,0.055,0.029,0.038,14.92,17.46,19.47
"2018-04-30 23:15:00",997,0.055,0.029,0.038,14.88,17.43,19.47
"2018-04-30 23:30:00",998,0.055,0.029,0.038,14.85,17.4,19.46
"2018-04-30 23:45:00",999,0.055,0.029,0.038,14.77,17.36,19.46
"2018-05-01 00:00:00",1000,0.055,0.029,0.038,14.71,17.32,19.46
"2018-05-01 00:15:00",1001,0.055,0.029,0.038,14.65,17.29,19.46
"2018-05-01 00:30:00",1002,0.055,0.029,0.038,14.59,17.26,19.46
"2018-05-01 00:45:00",1003,0.055,0.029,0.038,14.5,17.23,19.45
"2018-05-01 01:00:00",1004,0.055,0.029,0.038,14.43,17.2,19.45
"2018-05-01 01:15:00",1005,0.055,0.029,0.038,14.38,17.16,19.45
"2018-05-01 01:30:00",1006,0.055,0.029,0.038,14.31,17.13,19.44
"2018-05-01 01:45:00",1007,0.055,0.029,0.038,14.23,17.1,19.44
"2018-05-01 02:00:00",1008,0.055,0.029,0.038,14.15,17.06,19.43
"2018-05-01 02:15:00",1009,0.055,0.029,0.038,14.08,17.02,19.43
"2018-05-01 02:30:00",1010,0.055,0.029,0.038,14.01,16.99,19.43
"2018-05-01 02:45:00",1011,0.054,0.029,0.038,13.93,16.95,19.42
"2018-05-01 03:00:00",1012,0.054,0.029,0.038,13.85,16.91,19.41
"2018-05-01 03:15:00",1013,0.054,0.029,0.038,13.77,16.87,19.4
"2018-05-01 03:30:00",1014,0.054,0.029,0.038,13.72,16.83,19.39
"2018-05-01 03:45:00",1015,0.054,0.029,0.038,13.66,16.79,19.38
"2018-05-01 04:00:00",1016,0.054,0.029,0.038,13.62,16.75,19.37
"2018-05-01 04:15:00",1017,0.054,0.029,0.038,13.58,16.71,19.37
"2018-05-01 04:30:00",1018,0.054,0.029,0.038,13.52,16.68,19.36
"2018-05-01 04:45:00",1019,0.054,0.029,0.038,13.47,16.64,19.35
"2018-05-01 05:00:00",1020,0.054,0.029,0.038,13.45,16.6,19.34
"2018-05-01 05:15:00",1021,0.054,0.029,0.038,13.4,16.56,19.32
"2018-05-01 05:30:00",1022,0.054,0.029,0.038,13.35,16.52,19.31
"2018-05-01 05:45:00",1023,0.054,0.029,0.038,13.28,16.49,19.3
"2018-05-01 06:00:00",1024,0.054,0.029,0.038,13.22,16.45,19.29
"2018-05-01 06:15:00",1025,0.054,0.029,0.038,13.19,16.41,19.28
"2018-05-01 06:30:00",1026,0.054,0.029,0.038,13.16,16.38,19.27
"2018-05-01 06:45:00",1027,0.054,0.029,0.038,13.1,16.34,19.26
"2018-05-01 07:00:00",1028,0.054,0.029,0.038,13.05,16.31,19.25
"2018-05-01 07:15:00",1029,0.054,0.029,0.038,13.05,16.27,19.23
"2018-05-01 07:30:00",1030,0.054,0.029,0.038,13.05,16.23,19.22
"2018-05-01 07:45:00",1031,0.054,0.029,0.038,13.07,16.19,19.2
"2018-05-01 08:00:00",1032,0.054,0.029,0.038,13.13,16.16,19.18
"2018-05-01 08:15:00",1033,0.054,0.029,0.038,13.23,16.12,19.16
"2018-05-01 08:30:00",1034,0.054,0.029,0.038,13.34,16.09,19.14
"2018-05-01 08:45:00",1035,0.054,0.029,0.038,13.49,16.06,19.12
"2018-05-01 09:00:00",1036,0.054,0.029,0.038,13.66,16.04,19.1
"2018-05-01 09:15:00",1037,0.054,0.029,0.038,13.84,16.02,19.08
"2018-05-01 09:30:00",1038,0.054,0.03,0.038,14.01,16.01,19.06
"2018-05-01 09:45:00",1039,0.054,0.029,0.038,14.17,16.01,19.04
"2018-05-01 10:00:00",1040,0.054,0.029,0.038,14.37,16.01,19.02
"2018-05-01 10:15:00",1041,0.054,0.029,0.038,14.62,16.02,18.99
"2018-05-01 10:30:00",1042,0.054,0.029,0.038,14.87,16.03,18.97
"2018-05-01 10:45:00",1043,0.054,0.029,0.038,15.09,16.05,18.95
"2018-05-01 11:00:00",1044,0.054,0.029,0.038,15.26,16.08,18.94
"2018-05-01 11:15:00",1045,0.054,0.03,0.038,15.49,16.12,18.92
"2018-05-01 11:30:00",1046,0.053,0.03,0.038,15.7,16.16,18.9
"2018-05-01 11:45:00",1047,0.053,0.029,0.038,15.9,16.21,18.89
"2018-05-01 12:00:00",1048,0.053,0.029,0.038,16.08,16.26,18.88
"2018-05-01 12:15:00",1049,0.053,0.029,0.038,16.26,16.31,18.86
"2018-05-01 12:30:00",1050,0.053,0.03,0.038,16.45,16.36,18.85
"2018-05-01 12:45:00",1051,0.053,0.03,0.038,16.58,16.41,18.83
"2018-05-01 13:00:00",1052,0.053,0.03,0.038,16.68,16.47,18.81
"2018-05-01 13:15:00",1053,0.053,0.03,0.038,16.79,16.53,18.8
"2018-05-01 13:30:00",1054,0.053,0.03,0.038,16.92,16.58,18.79
"2018-05-01 13:45:00",1055,0.053,0.03,0.038,17.03,16.64,18.78
"2018-05-01 14:00:00",1056,0.053,0.03,0.038,17.12,16.7,18.77
"2018-05-01 14:15:00",1057,0.053,0.03,0.038,17.18,16.76,18.76
