chamber,Stem,branch_no,leaf_no,Analyst
C01,1,20,150,DK
C01,1,30,174,DK
C01,1,40,144,DK
C01,1,50,114,DK
C01,1,60,27,DK
C01,1,70,13,DK
C01,1,35,613,DK
C01,1,45,117,DK
C01,1,55,143,DK
C01,1,65,71,DK
C02,1,20,47,AV
C02,1,30,101,AV
C02,1,40,77,AV
C02,1,50,56,AV
C02,1,60,103,AV
C02,1,70,26,AV
C02,1,80,14,AV
C02,1,35,145,AV
C02,1,55,66,AV
C02,1,83,11,AV
C03,1,20,17,AV
C03,1,30,99,AV
C03,1,40,54,AV
C03,1,50,23,AV
C03,1,56,15,AV
C03,1.1,10,34,AV
C03,1.2,10,27,AV
C03,1.1,15,6,AV
C03,1,35,297,AV
C03,1,45,48,AV
C04,1,20,106,AV
C04,1,30,116,AV
C04,1,40,162,AV
C04,1,50,392,AV
C04,1,60,105,AV
C04,1,70,114,AV
C04,1,80,41,AV
C04,1,90,29,AV
C04,1,93,11,AV
C04,1,45,197,AV
C05,1,20,164,MA
C05,1,30,156,MA
C05,1,40,81,MA
C05,1,50,45,MA
C05,1,60,30,MA
C05,1,65,12,MA
C05,1,64,20,MA
C05,1,61,39,MA
C05,1,53,70,MA
C05,1,43,71,MA
C06,1,20,127,MA
C06,1,30,216,MA
C06,1,40,131,MA
C06,1,50,118,MA
C06,1,60,163,MA
C06,1,70,37,MA
C06,1,72,19,MA
C06,1,75,15,MA
C06,1,78,13,MA
C06,1,61,45,MA
C07,1,20,159,DK
C07,1,30,204,DK
C07,1,40,140,DK
C07,1,50,62,DK
C07,1,60,77,DK
C07,1,70,19,DK
C07,1,75,8,DK
C07,1,36,179,DK
C07,1,48,94,DK
C07,1,22,119,DK
C08,1,20,130,DK
C08,1,30,168,DK
C08,1,40,223,DK
C08,1,50,175,DK
C08,1,60,108,DK
C08,1,70,129,DK
C08,1,80,102,DK
C08,1,84,63,DK
C08,1,87,23,DK
C08,1,90,10,DK
C09,1,20,161,DK
C09,1,30,189,DK
C09,1,40,123,DK
C09,1,50,125,DK
C09,1,60,53,DK
C09,1,65,63,DK
C09,1,70,19,DK
C09,1,71,9,DK
C09,1,66,30,DK
C09,1,69,19,DK
C10,1,20,125,AV
C10,1,30,169,AV
C10,1,40,156,AV
C10,1,50,121,AV
C10,1,60,76,AV
C10,1,70,73,AV
C10,1,80,21,AV
C10,1,85,5,AV
C10,1,45,130,AV
C10,1,75,69,AV
C11,1,20,161,AV
C11,1,30,265,AV
C11,1,40,113,AV
C11,1,50,75,AV
C11,1,60,21,AV
C11,1,70,15,AV
C11,1,65,39,AV
C11,1,55,52,AV
C11,1,45,80,AV
C11,1,35,193,AV
C12,1,20,167,AV
C12,1,30,199,AV
C12,1,40,236,AV
C12,1,50,94,AV
C12,1,60,176,AV
C12,1,70,126,AV
C12,1.1,1,77,AV
C12,1.2,1,32,AV
C12,1.1,4,165,AV
C12,1.2,5,54,AV
