chamber,branch,nleaves,comments
C08,17,42,
C08,18,44,2 dead leaves not counted
C08,19,56,2 dead leaves not counted
C08,20,96,
C08,21,71,
C08,22,112,
C08,23,64,
C08,24,112,
C08,25,113,
C08,26,129,
C08,27,121,
C08,28,124,
C08,29,158,
C08,30,152,
C08,31,127,
C08,32,162,
C08,33,188,1 dead leaf not counted
C08,34,160,
C08,35,89,
C08,36,202,
C08,37,144,
C08,38,233,
C08,39,185,
C08,40,200,
C08,41,170,
C08,42,181,
C08,43,170,
C08,44,354,
C08,45,153,6 dead leaves not counted
C08,46,158,
C08,47,143,
C08,48,247,
C08,49,138,
C08,50,164,
C08,51,125,
C08,52,123,
C08,53,135,
C08,54,144,
C08,55,141,
C08,56,127,
C08,57,130,
C08,58,122,
C08,59,77,
C08,60,96,
C08,61,70,
C08,62,114,
C08,63,122,
C08,64,80,
C08,65,107,
C08,66,64,
C08,67,105,
C08,68,92,
C08,69,78,
C08,70,133,
C08,71,65,
C08,72,90,
C08,73,83,
C08,74,78,
C08,75,96,
C08,76,81,
C08,77,94,
C08,78,99,
C08,79,84,
C08,80,100,
C08,81,84,
C08,82,73,
C08,83,68,
C08,84,57,
C08,85,39,
C08,86,47,
C08,87,89,
C08,88,23,
C08,89,20,
C08,90,15,
C08,91,9,
C08,92,5,
C08,93,4,
C09,13,77,
C09,14,82,7 dead leaves not counted
C09,15,50,4 dead leaves not counted
C09,16,94,1 dead leaf not counted
C09,17,88,1 dead leaf not counted
C09,18,132,
C09,19,137,
C09,20,132,
C09,21,93,
C09,22,141,
C09,23,138,
C09,24,163,
C09,25,84,
C09,26,169,
C09,27,131,
C09,28,158,
C09,29,131,
C09,30,161,
C09,31,164,
C09,32,200,
C09,33,171,
C09,34,299,
C09,35,175,
C09,36,157,
C09,37,91,
C09,38,195,
C09,39,107,
C09,40,161,
C09,41,131,
C09,42,172,
C09,43,123,
C09,44,137,
C09,45,108,
C09,46,150,
C09,47,125,
C09,48,143,
C09,49,173,
C09,50,109,
C09,51,178,
C09,52,92,
C09,53,229,
C09,54,99,
C09,55,99,
C09,56,84,
C09,57,63,
C09,58,202,
C09,59,97,
C09,60,58,
C09,61,65,
C09,62,48,
C09,63,22,
C09,64,50,
C09,65,20,
C09,66,48,
C09,67,46,
C09,68,34,
C09,69,25,
C09,70,28,
C09,71,9,
C09,72,7,
C09,73,5,
C09,74,2,
C09,75,2,
