chamber,Layer,Leaf_DW,SLA,HW_damage_DW
C01,LOW,730.61,83.89,0
C01,MID,1372.29,83.55,0.8
C01,TOP,722.14,83.36,0
C02,LOW,448.49,103.86,0
C02,MID,804.86,88.81,0
C02,TOP,576.99,92.97,0
C03,LOW,582.68,82.16,0
C03,MID,581.4,73.25,4.16
C03,TOP,412.37,80.03,0
C04,LOW,1081.67,92.08,43.33
C04,MID,787.27,71.21,70.57
C04,TOP,962.89,84.4,3.49
C05,LOW,623.54,70.55,1.11
C05,MID,575.22,70.73,0
C05,TOP,601.95,73.76,1.05
C06,LOW,847.9,120.31,10.87
C06,MID,1216.86,91.5,7.71
C06,TOP,905.47,90.27,0
C07,LOW,786.28,93.22,0
C07,MID,352.59,75.71,1
C07,TOP,550.09,83.65,0.49
C08,LOW,919.25,89.13,2.52
C08,MID,1474.63,72.92,0
C08,TOP,823.48,66.3,0
C09,LOW,610.15,92.52,8.04
C09,MID,927.33,71.39,12.81
C09,TOP,646.5,75.73,1.4
C10,LOW,601.04,113.94,3.24
C10,MID,800.84,77.99,9.71
C10,TOP,493.52,79.08,3.75
C11,LOW,581.07,86.68,10.44
C11,MID,423.45,65.24,0
C11,TOP,274.95,63.34,0
C12,LOW,907.06,94.9,8.09
C12,MID,1827.36,73.88,4.89
C12,TOP,690.82,73.14,0
