T_treatment,HW_treatment,chamber,replicate,SWC,Po,YTLP,RWCTLP ,e,CFT,CTLP,CFT_star
ambient,control,C01,1,1.794238224,-1.485002511,-1.813390695,87.90225241,11.71611581,0.069607299,0.19052399,0.953895947
ambient,control,C01,2,1.922953771,-1.581592715,-1.856731084,88.50836098,13.30248327,0.063978804,0.234566946,0.839153045
elevated,control,C02,1,1.395470031,-1.692323014,-2.243996277,88.32417454,12.94987964,0.056952354,0.130200065,0.651942923
elevated,control,C02,2,1.520600773,-1.952271365,-2.278510962,85.8157866,14.31157716,0.060384906,0.225911423,0.663598714
ambient,heatwave,C03,1,1.366730891,-1.658748671,-2.051196816,87.78247159,14.24877245,0.057538973,0.188168643,0.64600359
ambient,heatwave,C03,2,1.390040117,-1.889938913,-2.306033738,85.68395496,14.44915052,0.057982113,0.168056179,0.5840139
elevated,heatwave,C04,1,1.24465483,-2.165905498,-2.455409067,87.36581716,17.19531,0.051427778,0.226148901,0.497031783
elevated,heatwave,C04,2,1.098324479,-2.496686164,-2.717120996,86.07213357,18.31999786,0.051198646,0.439295981,0.480639378
ambient,control,C05,1,1.412546879,-1.849550563,-2.299206547,85.28578677,13.57343273,0.060385559,0.153793238,0.837280087
ambient,control,C05,2,1.544762037,-2.035920511,-2.399086917,84.3607038,13.81372005,0.062151413,0.22247001,0.879692063
elevated,control,C06,1,1.324925197,-1.845872939,-2.385574145,87.98006488,17.44870379,0.045921344,0.117821924,0.405477678
elevated,control,C06,2,1.323340516,-2.161764178,-2.404569013,83.53039493,17.8805278,0.051783673,0.353565751,0.453871557
ambient,heatwave,C07,1,1.75952571,-1.888559247,-2.218729742,85.05828746,12.70413641,0.067163347,0.279210942,1.001778771
ambient,heatwave,C07,2,1.762998005,-2.165407779,-2.457848258,79.71298294,11.70796172,0.076291203,0.378332187,1.115876967
elevated,control,C08,1,1.192196643,-1.944826394,-2.40851404,90.13564032,19.52287133,0.041323292,0.106992731,0.425523299
elevated,control,C08,2,1.399351836,-2.062360476,-2.369410146,88.53419961,19.23013023,0.045739561,0.219254318,0.459962316
ambient,heatwave,C09,1,1.214232694,-1.786195773,-2.355092339,88.17859872,15.67805043,0.049028782,0.118897647,0.602329591
ambient,heatwave,C09,2,1.233377401,-2.369784793,-2.697646275,84.48828905,15.72611193,0.056177022,0.29692425,0.638924985
elevated,heatwave,C10,1,1.307977733,-2.138587129,-2.416154577,86.94195142,17.58673201,0.050847465,0.288034846,0.460051838
elevated,heatwave,C10,2,1.143587126,-2.41277871,-2.710581683,83.0693141,16.18849632,0.055894369,0.418922644,0.488384619
ambient,control,C11,1,1.052331943,-2.033031926,-2.431234846,89.18614917,18.49824602,0.045171083,0.159096456,0.472138202
ambient,control,C11,2,1.087977293,-2.531613364,-2.851391824,80.34386319,2.486203405,0.267476252,0.057840368,2.682163638
elevated,heatwave,C12,1,1.151378891,-1.781413551,-2.296658475,90.58217475,19.00767965,0.04071362,0.107076898,0.360949066
elevated,heatwave,C12,2,1.156025463,-1.899761515,-2.400084024,88.93332979,18.39502515,0.043876834,0.132362422,0.358734929
