chamber,T_treatment,HW_treatment,subreplicate,TLP
C01,ambient,control,1,-1.813390695
C01,ambient,control,2,-1.856731084
C02,elevated,control,1,-2.243996277
C02,elevated,control,2,-2.278510962
C03,ambient,heatwave,1,-2.051196816
C03,ambient,heatwave,2,-2.306033738
C04,elevated,heatwave,1,-2.455409067
C04,elevated,heatwave,2,-2.717120996
C05,ambient,control,1,-2.299206547
C05,ambient,control,2,-2.399086917
C06,elevated,control,1,-2.385574145
C06,elevated,control,2,-2.404569013
C07,ambient,heatwave,1,-2.218729742
C07,ambient,heatwave,2,-2.457848258
C08,elevated,control,1,-2.40851404
C08,elevated,control,2,-2.369410146
C09,ambient,heatwave,1,-2.355092339
C09,ambient,heatwave,2,-2.697646275
C10,elevated,heatwave,1,-2.416154577
C10,elevated,heatwave,2,-2.710581683
C11,ambient,control,1,-2.431234846
C11,ambient,control,2,-2.851391824
C12,elevated,heatwave,1,-2.296658475
C12,elevated,heatwave,2,-2.400084024
