chamber,layer,thickness,diam_over_bark,diam_under_bark,FM_bark,FM_wood,fresh_vol_wood,fresh_vol_bark,DM_bark,DM_wood,density_wood,density_bark
C01,low,50,80,65,85.15,180.38,159.84,82.1,28.6,74.05,0.46,0.348355664
C01,mid,50,52,45,29.12,95.02,83.82,28.04,11.12,38.51,0.46,0.39657632
C01,top,50,28,24,7.89,23.74,23.12,7.52,2.84,9.92,0.43,0.377659574
C02,low,50,71,55.5,78.69,139.21,121.93,75.22,26.43,62.82,0.52,0.351369317
C02,mid,50.5,41,35,19,53.78,47.11,18.71,6.73,23.44,0.50,0.359700695
C02,top,50,25.8,22,7.67,20.13,18.63,7.54,2.74,9.11,0.49,0.363395225
C03,low,52,70,54.5,83.85,136.35,119.1,80.65,27.03,58.68,0.49,0.335151891
C03,mid,47.5,41,34,17.6,47.88,42.3,17.27,6.31,18.79,0.44,0.36537348
C03,top,53,17,14,3.8,8.96,8.1,3.5,1.17,3.52,0.43,0.334285714
C04,low,50.5,76.2,62.5,81.14,174.09,152.99,78.05,28.47,75.42,0.49,0.364766176
C04,mid,47.5,57.3,48.5,36.1,98.11,85.34,34.32,13.71,42.93,0.50,0.399475524
C04,top,49,29.2,24.5,10.8,25.08,22.72,NA,3.64,11.32,0.50,NA
C05,low,46.5,65.8,53,63.65,129.18,112.27,60.52,23.06,58.41,0.52,0.381031064
C05,mid,51,46.1,39,24.77,71.49,61.6,23.35,9.7,31.68,0.51,0.415417559
C05,top,51,22,18.1,6.67,14.88,12.94,6.01,2.42,6.59,0.51,0.40266223
C06,low,52.5,85,70,87.08,221.22,196.66,84,30.65,94.72,0.48,0.364880952
C06,mid,48.5,54.8,47.2,28.45,94.5,83.06,27.48,10.24,41.51,0.50,0.372634643
C06,top,48.5,33.3,29,11.63,38.34,33.49,11.2,3.8,17.44,0.52,0.339285714
C07,low,50,68,52,69.48,121.62,105.5,65.88,23.93,59.71,0.57,0.363236187
C07,mid,52,40.5,34.3,18.66,56.22,48.32,18.06,7.25,26.65,0.55,0.401439646
C07,top,49.5,21.9,18.2,5.45,14.94,13.05,5.03,2.03,7.25,0.56,0.403578529
C08,low,44,83,68.3,74.86,185.91,164.08,72.32,26.22,82.59,0.50,0.36255531
C08,mid,46.5,50,43,23.63,76.98,67.33,22.52,8.91,34.8,0.52,0.395648313
C08,top,50.5,27.5,23,8.9,23.33,21.7,8.46,3.3,11.45,0.53,0.390070922
C09,low,53,66.2,53.7,65.32,134.02,118.42,63.25,22.79,60.23,0.51,0.360316206
C09,mid,48,47.7,40.6,22.76,70.62,61.96,22.12,8.81,31.1,0.50,0.398282098
C09,top,51,23,19.2,6.31,15.44,14.62,6,2.46,6.99,0.48,0.41
C10,low,45,68.7,54,70.24,129.56,113.57,66.85,26.31,62.42,0.55,0.393567689
C10,mid,52,40.2,35.4,16.17,58.29,50.98,15.49,6.4,26.74,0.52,0.413169787
C10,top,59.5,23.8,20.4,6.66,22.5,20.33,6.42,2.77,11.61,0.57,0.431464174
C11,low,50.5,55,43.8,46.98,86.08,74.58,46.62,17.16,42.29,0.57,0.368082368
C11,mid,47,36,30.2,12.66,39.43,34.07,12.13,5.05,18.69,0.55,0.416323166
C11,top,51.5,19.7,16.3,5.04,13.07,11.43,4.65,1.83,5.84,0.51,0.393548387
C12,low,48.5,85,66.2,108.69,189.72,170.67,103.06,38.82,87.04,0.51,0.376673782
C12,mid,57.5,52.3,43,40.97,93.87,83.73,38.44,16.12,42.35,0.51,0.419354839
C12,top,47,26.1,22,8.34,20.29,17.88,7.63,3.12,9.57,0.54,0.408912189
