"TOA5","DroughtNet","CR1000","68414","CR1000.Std.27.04","CPU:DryNet20151110.CR1","60679","PAR"
"TIMESTAMP","RECORD","PAR_Den_1_Avg","PAR_Den_2_Avg"
"TS","RN","umol/s/m^2","umol/s/m^2"
"","","Avg","Avg"
"2018-03-31 05:15:00",21669,0.003,0
"2018-03-31 05:30:00",21670,0.003,0
"2018-03-31 05:45:00",21671,0.009,0.006
"2018-03-31 06:00:00",21672,0.273,0.219
"2018-03-31 06:15:00",21673,3.972,3.17
"2018-03-31 06:30:00",21674,15.74,12.69
"2018-03-31 06:45:00",21675,33.11,26.55
"2018-03-31 07:00:00",21676,62.81,49.85
"2018-03-31 07:15:00",21677,93.9,74.77
"2018-03-31 07:30:00",21678,160.9,127.4
"2018-03-31 07:45:00",21679,226.4,177.8
"2018-03-31 08:00:00",21680,327.1,256.8
"2018-03-31 08:15:00",21681,365.7,282.5
"2018-03-31 08:30:00",21682,337.2,262.2
"2018-03-31 08:45:00",21683,473.9,375
"2018-03-31 09:00:00",21684,500.7,395.7
"2018-03-31 09:15:00",21685,459.1,363.8
"2018-03-31 09:30:00",21686,612,471.8
"2018-03-31 09:45:00",21687,744,566.9
"2018-03-31 10:00:00",21688,899,625.9
"2018-03-31 10:15:00",21689,680.2,530.3
"2018-03-31 10:30:00",21690,940,711
"2018-03-31 10:45:00",21691,661.1,520.5
"2018-03-31 11:00:00",21692,655.9,516.3
"2018-03-31 11:15:00",21693,1169,927
"2018-03-31 11:30:00",21694,1072,852
"2018-03-31 11:45:00",21695,904,705.5
"2018-03-31 12:00:00",21696,905,729.8
"2018-03-31 12:15:00",21697,931,768
"2018-03-31 12:30:00",21698,807,678.8
"2018-03-31 12:45:00",21699,1538,1449
"2018-03-31 13:00:00",21700,1125,998
"2018-03-31 13:15:00",21701,938,748.8
"2018-03-31 13:30:00",21702,1124,944
"2018-03-31 13:45:00",21703,1301,1168
"2018-03-31 14:00:00",21704,1006,853
"2018-03-31 14:15:00",21705,1027,875
"2018-03-31 14:30:00",21706,1526,976
"2018-03-31 14:45:00",21707,772.3,519.9
"2018-03-31 15:00:00",21708,790.4,529.9
"2018-03-31 15:15:00",21709,1070,674.2
"2018-03-31 15:30:00",21710,905,563.7
